video_id,category
iwh8XbZk-zQ,0
bIDKhZ_4jLQ&ab_channel=DudePerfect,0
tJPX_RkjYtc,0
qUUloBe5vEo,0
dwV04XuiWq4,0
JErXWwcVA6Q,0
viQC-6xoJ3E,0
3TJP5a3pBME,0
_XFzT9GMmw8,0
aUDgaN6iHFc,0
uWFv1vuPtwo,0
l2s_mknWn-w,0
aJq9bmwv0CI,0
p-84FvmpeEw,0
nj87csGC6c8,0
iPMaoRmCUoQ&ab_channel=KieranBrown,0
s3G2kLruJJo,1
MU3yH489oZY,1
zkvfOIFZB0Y,1
AneAgyUxBsg,1
HcdohhNq8Iw,1
XlBVkwutj8w,1
LEvOJ_4UlTQ,1
7cN07tsCb2E,1
IuTDuvYr7f0,1
MZO4B1RZU5g,1
3SsK-cxlj_w,1
IOVmw00y5iA,1
exI_hD_4jAM,1
orlUDdeoxZQ,1
L5JORXmV_A0,1
BHdIQy00_p4,1
UIJcutkljpM,1
z5qHEhnabnE,2
c9ngFduPffI,2
D2M9W7qTAWg,2
Lt2RJepYz2k,2
7n9d-yBpxy4,2
phQ0Hfbnz2s,2
EwRySI6xvWI,2
EwGTHz4isu8,2
csvyIVIaol4,2
aBSirlqP2uw,2
HjY1y0Kixj0,2
WcjvEVkq03o,2
LhkbIj7CgT0,2
lGgkvndtYh0,2
IlFXmMriFmA,2
YcXpAHVAxwY,2
